date,code,open,high,low,close,volume
20220131,hDJI,34691.171875,35148.140625,34496.1015625,35131.859375,468070000.0
20220201,hDJI,35151.46875,35441.08984375,34977.94921875,35405.23828125,386080000.0
20220202,hDJI,35378.19140625,35679.19921875,35290.12109375,35629.328125,359540000.0
20220203,hDJI,35520.078125,35535.94140625,35071.05859375,35111.16015625,381020000.0
20220204,hDJI,35095.73828125,35333.55078125,34799.078125,35089.73828125,349880000.0
20220207,hDJI,35108.37890625,35325.01171875,34993.98046875,35091.12890625,328910000.0
20220208,hDJI,35160.6796875,35544.890625,35090.421875,35462.78125,319190000.0
20220209,hDJI,35614.8984375,35824.28125,35614.8984375,35768.05859375,333610000.0
20220210,hDJI,35630.80859375,35800.23828125,35100.71875,35241.58984375,411620000.0
20220211,hDJI,35267.890625,35431.1484375,34620.51953125,34738.05859375,398860000.0
20220214,hDJI,34694.5,34744.55859375,34304.28125,34566.171875,370320000.0
20220215,hDJI,34686.19140625,35047.7890625,34686.19140625,34988.83984375,305670000.0
20220216,hDJI,34951.828125,35042.08984375,34642.640625,34934.26953125,294410000.0
20220217,hDJI,34858.46875,34858.46875,34246.23046875,34312.03125,348720000.0
20220218,hDJI,34310.44921875,34423.578125,33976.1796875,34079.1796875,414080000.0
20220222,hDJI,33974.08984375,34024.73828125,33364.2890625,33596.609375,432090000.0
20220223,hDJI,33680.96875,33832.58984375,33084.8984375,33131.76171875,370600000.0
20220224,hDJI,32830.328125,33269.33984375,32272.640625,33223.828125,590850000.0
20220225,hDJI,33277.21875,34095.73828125,33277.21875,34058.75,417630000.0
20220228,hDJI,33870.62109375,33963.62890625,33469.30859375,33892.6015625,443460000.0
20220301,hDJI,33813.48046875,33870.140625,33107.671875,33294.94921875,438730000.0
20220302,hDJI,33379.51171875,34013.671875,33379.51171875,33891.3515625,400920000.0
20220303,hDJI,33972.87109375,34179.0703125,33641.53125,33794.66015625,369740000.0
20220304,hDJI,33655.4296875,33655.4296875,33254.12109375,33614.80078125,408390000.0
20220307,hDJI,33579.75,33579.75,32806.1484375,32817.37890625,488400000.0
20220308,hDJI,32885.171875,33402.98046875,32578.73046875,32632.640625,553750000.0
20220309,hDJI,32860.421875,33457.28125,32860.421875,33286.25,418670000.0
20220310,hDJI,33106.76953125,33236.58984375,32819.76171875,33174.0703125,399480000.0
20220311,hDJI,33279.71875,33515.609375,32911.890625,32944.19140625,369480000.0
20220314,hDJI,33000.37109375,33395.58984375,32818.16015625,32945.23828125,394940000.0
20220315,hDJI,32989.26953125,33620.83984375,32989.26953125,33544.33984375,388810000.0
20220316,hDJI,33653.9296875,34075.94140625,33391.23828125,34063.1015625,427400000.0
20220317,hDJI,33995.390625,34483.921875,33896.05859375,34480.76171875,339470000.0
20220318,hDJI,34466.71875,34755.19921875,34279.828125,34754.9296875,615420000.0
20220321,hDJI,34669.8515625,34808.28125,34341.80859375,34552.98828125,408490000.0
20220322,hDJI,34583.23828125,34882.03125,34583.23828125,34807.4609375,368550000.0
20220323,hDJI,34748.83984375,34748.83984375,34352.9609375,34358.5,347880000.0
20220324,hDJI,34406.80859375,34713.55859375,34355.421875,34707.94140625,324870000.0
